Issue Type,Issue key,Issue id,Summary,Status,Custom field (EDS equivalent table),Custom field (EDW table replaced with external table?),Custom field (EDW table),Custom field (Validation details (optional))
Task,EDSMIG-6440,420910,prod_ml.degrees_kpi_metrics_part4_looker - Phase 1,To Do,,,prod_ml.degrees_kpi_metrics_part4_looker,
Task,EDSMIG-6441,420911,prod_ml.degrees_pathways - Phase 1,To Do,,,prod_ml.degrees_pathways,
Task,EDSMIG-6442,420912,prod_ml.degrees_pathways_parent_product_degree_enrollments - Phase 1,To Do,,,prod_ml.degrees_pathways_parent_product_degree_enrollments,
Task,EDSMIG-6443,420913,prod_ml.degrees_pathways_parent_products_enrollments - Phase 1,To Do,,,prod_ml.degrees_pathways_parent_products_enrollments,
Task,EDSMIG-6444,420914,prod_ml.degrees_pathways_parent_products_slugs - Phase 1,To Do,,,prod_ml.degrees_pathways_parent_products_slugs,
Task,EDSMIG-6445,420915,prod_ml.deprecated_degree_course_session_future_items_feature_importance_log - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_future_items_feature_importance_log,
Task,EDSMIG-6446,420916,prod_ml.deprecated_degree_course_session_future_items_parameters_log - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_future_items_parameters_log,
Task,EDSMIG-6447,420917,prod_ml.deprecated_degree_course_session_future_items_predictions_first_half - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_future_items_predictions_first_half,
Task,EDSMIG-6448,420918,prod_ml.deprecated_degree_course_session_future_items_predictions_log - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_future_items_predictions_log,
Task,EDSMIG-6449,420919,prod_ml.deprecated_degree_course_session_overdue_items_feature_importance_log - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_overdue_items_feature_importance_log,
Task,EDSMIG-6450,420920,prod_ml.deprecated_degree_course_session_overdue_items_performance_log - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_overdue_items_performance_log,
Task,EDSMIG-6451,420921,prod_ml.deprecated_degree_course_session_overdue_items_predictions_log - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_overdue_items_predictions_log,
Task,EDSMIG-6452,420922,prod_ml.deprecated_degree_course_session_training_set_coefficients - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_training_set_coefficients,
Task,EDSMIG-6453,420923,prod_ml.deprecated_degree_course_session_training_set_coefficients_log - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_training_set_coefficients_log,
Task,EDSMIG-6454,420924,prod_ml.deprecated_degree_course_session_training_set_map - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_training_set_map,
Task,EDSMIG-6455,420925,prod_ml.deprecated_degree_course_session_training_set_map_log - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_training_set_map_log,
Task,EDSMIG-6456,420926,prod_ml.deprecated_degree_course_session_training_set_performance - Phase 1,Won't Do,,,prod_ml.deprecated_degree_course_session_training_set_performance,
Task,EDSMIG-6457,420927,prod_ml.dfm_cohort_actuals - Phase 1,To Do,,,prod_ml.dfm_cohort_actuals,
Task,EDSMIG-6458,420928,prod_ml.dfm_cohorts - Phase 1,To Do,,,prod_ml.dfm_cohorts,
Task,EDSMIG-6459,420929,prod_ml.dfm_daily_actuals - Phase 1,To Do,,,prod_ml.dfm_daily_actuals,
Task,EDSMIG-6460,420930,prod_ml.dfm_daily_metrics - Phase 1,To Do,,,prod_ml.dfm_daily_metrics,
Task,EDSMIG-6461,420931,prod_ml.dfm_daily_subterms - Phase 1,To Do,,,prod_ml.dfm_daily_subterms,
Task,EDSMIG-6462,420932,prod_ml.dfm_degree_conversion - Phase 1,To Do,,,prod_ml.dfm_degree_conversion,
Task,EDSMIG-6463,420933,prod_ml.dfm_degree_programs - Phase 1,To Do,,,prod_ml.dfm_degree_programs,
Task,EDSMIG-6464,420934,prod_ml.dfm_forecast_archive - Phase 1,To Do,,,prod_ml.dfm_forecast_archive,
Task,EDSMIG-6465,420935,prod_ml.dfm_forecast_cohort_summary - Phase 1,To Do,,,prod_ml.dfm_forecast_cohort_summary,
Task,EDSMIG-6466,420936,prod_ml.dfm_forecast_snapshots - Phase 1,To Do,,,prod_ml.dfm_forecast_snapshots,
Task,EDSMIG-6467,420937,prod_ml.dfm_forecast_v4 - Phase 1,To Do,,,prod_ml.dfm_forecast_v4,
Task,EDSMIG-6468,420938,prod_ml.dfm_subterms - Phase 1,To Do,,,prod_ml.dfm_subterms,
Task,EDSMIG-6469,420939,prod_ml.dnn_recommendations - Phase 1,To Do,,,prod_ml.dnn_recommendations,
Task,EDSMIG-6470,420940,prod_ml.dnn_recommendations_cold_start - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start,
Task,EDSMIG-6471,420941,prod_ml.dnn_recommendations_cold_start_email_ranks - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_email_ranks,
Task,EDSMIG-6472,420942,prod_ml.dnn_recommendations_cold_start_email_ranks_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_email_ranks_qa,
Task,EDSMIG-6473,420943,prod_ml.dnn_recommendations_cold_start_filtered - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_filtered,
Task,EDSMIG-6474,420944,prod_ml.dnn_recommendations_cold_start_filtered_dummy - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_filtered_dummy,
Task,EDSMIG-6475,420945,prod_ml.dnn_recommendations_cold_start_filtered_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_filtered_qa,
Task,EDSMIG-6476,420946,prod_ml.dnn_recommendations_cold_start_filtered_reranked - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_filtered_reranked,
Task,EDSMIG-6477,420947,prod_ml.dnn_recommendations_cold_start_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_qa,
Task,EDSMIG-6478,420948,prod_ml.dnn_recommendations_cold_start_s12n_training - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_s12n_training,
Task,EDSMIG-6479,420949,prod_ml.dnn_recommendations_cold_start_s12n_training_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_s12n_training_qa,
Task,EDSMIG-6480,420950,prod_ml.dnn_recommendations_cold_start_scoring_data - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_scoring_data,
Task,EDSMIG-6481,420951,prod_ml.dnn_recommendations_cold_start_scoring_data_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_scoring_data_qa,
Task,EDSMIG-6482,420952,prod_ml.dnn_recommendations_cold_start_staging - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_staging,
Task,EDSMIG-6483,420953,prod_ml.dnn_recommendations_cold_start_staging_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_staging_qa,
Task,EDSMIG-6484,420954,prod_ml.dnn_recommendations_cold_start_training - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_training,
Task,EDSMIG-6485,420955,prod_ml.dnn_recommendations_cold_start_training_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_training_qa,
Task,EDSMIG-6486,420956,prod_ml.dnn_recommendations_cold_start_users_to_score - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_users_to_score,
Task,EDSMIG-6487,420957,prod_ml.dnn_recommendations_cold_start_users_to_score_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_users_to_score_qa,
Task,EDSMIG-6488,420958,prod_ml.dnn_recommendations_cold_start_with_content_filters_staging - Phase 1,To Do,,,prod_ml.dnn_recommendations_cold_start_with_content_filters_staging,
Task,EDSMIG-6489,420959,prod_ml.dnn_recommendations_course_enrollments - Phase 1,To Do,,,prod_ml.dnn_recommendations_course_enrollments,
Task,EDSMIG-6490,420960,prod_ml.dnn_recommendations_cplus_recs_filtered - Phase 1,To Do,,,prod_ml.dnn_recommendations_cplus_recs_filtered,
Task,EDSMIG-6491,420961,prod_ml.dnn_recommendations_cplus_users_email_ranks - Phase 1,To Do,,,prod_ml.dnn_recommendations_cplus_users_email_ranks,
Task,EDSMIG-6492,420962,prod_ml.dnn_recommendations_cplus_users_filtered - Phase 1,To Do,,,prod_ml.dnn_recommendations_cplus_users_filtered,
Task,EDSMIG-6493,420963,prod_ml.dnn_recommendations_email_ranks - Phase 1,To Do,,,prod_ml.dnn_recommendations_email_ranks,
Task,EDSMIG-6494,420964,prod_ml.dnn_recommendations_email_ranks_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_email_ranks_qa,
Task,EDSMIG-6495,420965,prod_ml.dnn_recommendations_filtered - Phase 1,To Do,,,prod_ml.dnn_recommendations_filtered,
Task,EDSMIG-6496,420966,prod_ml.dnn_recommendations_filtered_cold_start_dummy - Phase 1,To Do,,,prod_ml.dnn_recommendations_filtered_cold_start_dummy,
Task,EDSMIG-6497,420967,prod_ml.dnn_recommendations_filtered_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_filtered_qa,
Task,EDSMIG-6498,420968,prod_ml.dnn_recommendations_filtered_reranked - Phase 1,To Do,,,prod_ml.dnn_recommendations_filtered_reranked,
Task,EDSMIG-6499,420969,prod_ml.dnn_recommendations_p2p_features - Phase 1,To Do,,,prod_ml.dnn_recommendations_p2p_features,
Task,EDSMIG-6500,420970,prod_ml.dnn_recommendations_p2p_training_features - Phase 1,To Do,,,prod_ml.dnn_recommendations_p2p_training_features,
