edw_table,eds_equivalent_table,Status,is_table_replaced,issue_key,eds_base_table,table,key_cols
coursera_warehouse.edw_prod.ecb_evaluator_author,prod.silver.courral_ecb_evaluator_author_vw,Done,No,EDSMIG-5481,prod.silver_base.courral_ecb_evaluator_author,courral_ecb_evaluator_author,['doc_key']
coursera_warehouse.edw_prod.ecb_evaluations,prod.silver.courral_ecb_evaluations_vw,Done,No,EDSMIG-5480,prod.silver_base.courral_ecb_evaluations,courral_ecb_evaluations,"['doc_key', 'ecb_evaluator_id']"
coursera_warehouse.edw_prod.ecb_engines,prod.silver.courral_ecb_engines_vw,Done,No,EDSMIG-5479,prod.silver_base.courral_ecb_engines,courral_ecb_engines,"['version', 'doc_key', 'ecb_engine_id']"
coursera_warehouse.edw_prod.ecb_course_evaluators,prod.gold.ecb_course_evaluators_vw,Done,No,EDSMIG-5478,prod.gold_base.ecb_course_evaluators,,
coursera_warehouse.edw_prod.discussion_prompt_contents,prod.silver.courral_discussion_prompt_contents_vw,Done,No,EDSMIG-5472,prod.silver_base.courral_discussion_prompt_contents,courral_discussion_prompt_contents,"['version', 'doc_key']"
coursera_warehouse.edw_prod.discussion_prompt_assignments,prod.silver.courral_discussion_prompt_assignments_vw,Done,No,EDSMIG-5471,prod.silver_base.courral_discussion_prompt_assignments,courral_discussion_prompt_assignments,"['discussion_prompt_assignment_id', 'version']"
coursera_warehouse.edw_prod.demographics_questions,prod.silver.static_demographics_questions_vw,Done,No,EDSMIG-5452,prod.silver_base.static_demographics_questions,,
coursera_warehouse.edw_prod.demographics_question_types,prod.silver.static_demographics_question_types_vw,Done,No,EDSMIG-5451,prod.silver_base.static_demographics_question_types,,
coursera_warehouse.edw_prod.demographics_choices,prod.silver.static_demographics_choices_vw,Done,No,EDSMIG-5450,prod.silver_base.static_demographics_choices,,
coursera_warehouse.edw_prod.demographics_answers,prod.silver.static_demographics_answers_vw,Done,No,EDSMIG-5449,prod.silver_base.static_demographics_answers,,
coursera_warehouse.edw_prod.degree_term_course_instances,prod.silver.courral_degree_term_course_instances_vw,Done,No,EDSMIG-5444,prod.silver_base.courral_degree_term_course_instances,courral_degree_term_course_instances,['doc_key']
coursera_warehouse.edw_prod.degree_student_associations,prod.silver.courral_degree_student_associations_vw,Done,No,EDSMIG-5443,prod.silver_base.courral_degree_student_associations,courral_degree_student_associations,['doc_key']
coursera_warehouse.edw_prod.degree_programs,prod.silver.courral_degree_programs_vw,Done,No,EDSMIG-5440,prod.silver_base.courral_degree_programs,courral_degree_programs,['doc_key']
coursera_warehouse.edw_prod.degree_program_academic_terms,prod.silver.courral_degree_program_academic_terms_vw,Done,No,EDSMIG-5439,prod.silver_base.courral_degree_program_academic_terms,courral_degree_program_academic_terms,['doc_key']
coursera_warehouse.edw_prod.degree_onboarding_sessions,prod.silver.courral_degree_onboarding_sessions_vw,Done,No,EDSMIG-5438,prod.silver_base.courral_degree_onboarding_sessions,courral_degree_onboarding_sessions,['doc_key']
coursera_warehouse.edw_prod.degree_memberships,prod.silver.courral_degree_memberships_vw,Done,No,EDSMIG-5437,prod.silver_base.courral_degree_memberships,courral_degree_memberships,['doc_key']
coursera_warehouse.edw_prod.degree_membership_history,prod.silver.courral_degree_membership_history_vw,Done,No,EDSMIG-5436,prod.silver_base.courral_degree_membership_history,courral_degree_membership_history,"['doc_key', 'transact_seq']"
coursera_warehouse.edw_prod.degree_groups_metadata,prod.silver.courral_degree_groups_metadata_vw,Done,No,EDSMIG-5434,prod.silver_base.courral_degree_groups_metadata,courral_degree_groups_metadata,['doc_key']
coursera_warehouse.edw_prod.degree_enrollment_checklist_user_settings_history,prod.silver.courral_degree_enrollment_checklist_user_settings_history_vw,Done,No,EDSMIG-5433,prod.silver_base.courral_degree_enrollment_checklist_user_settings_history,courral_degree_enrollment_checklist_user_settings_history,"['doc_key', 'transact_seq']"
coursera_warehouse.edw_prod.degree_course_enrollment_indicators,prod.silver.courral_degree_course_enrollment_indicators_vw,Done,No,EDSMIG-5428,prod.silver_base.courral_degree_course_enrollment_indicators,courral_degree_course_enrollment_indicators,['doc_key']
coursera_warehouse.edw_prod.curriculum_type,prod.silver.curriculum_type_vw,Done,No,EDSMIG-5420,prod.silver_base.curriculum_type,,
coursera_warehouse.edw_prod.curriculum_track_courses_all,prod.gold.curriculum_track_courses_all_vw,Done,No,EDSMIG-5419,prod.gold_base.curriculum_track_courses_all,,
coursera_warehouse.edw_prod.curriculum_track_courses,prod.silver.curriculum_track_courses_vw,Done,No,EDSMIG-5418,prod.silver_base.curriculum_track_courses,,
coursera_warehouse.edw_prod.curriculum_elective_track_courses,prod.silver.curriculum_elective_track_courses_vw,Done,No,EDSMIG-5416,prod.silver_base.curriculum_elective_track_courses,,
coursera_warehouse.edw_prod.currencies,prod.silver.payments_currencies_vw,Done,No,EDSMIG-5413,prod.silver_base.payments_currencies,payments_currencies,['currency_id']
coursera_warehouse.edw_prod.course_visibility_history,prod.silver.courral_versioned_courses_vw,Done,No,EDSMIG-5404,prod.silver_base.courral_versioned_courses,courral_versioned_courses,"['version', 'doc_key']"
coursera_warehouse.edw_prod.course_universities,prod.general.stg_course_universities_vw,Done,No,EDSMIG-5403,prod.general.stg_course_universities,,
coursera_warehouse.edw_prod.course_subtitle_languages,prod.silver.courral_course_subtitles_vw,Done,No,EDSMIG-5402,prod.silver_base.courral_course_subtitles,courral_course_subtitles,"['doc_key', 'idx']"
coursera_warehouse.edw_prod.course_stories,prod.silver_pii.courral_course_stories_vw,Done,No,EDSMIG-5401,prod.silver_base_pii.courral_course_stories,courral_course_stories,['doc_key']
coursera_warehouse.edw_prod.course_session_memberships,prod.silver.courral_course_session_memberships_all_vw,Done,No,EDSMIG-5399,prod.silver_base.courral_course_session_memberships_all,courral_course_session_memberships_all,"['version', 'doc_key']"
coursera_warehouse.edw_prod.course_progress_state_types,prod.silver.static_course_progress_state_types_vw,Done,No,EDSMIG-5394,prod.silver_base.static_course_progress_state_types,,
coursera_warehouse.edw_prod.course_premium_experiences,prod.silver.courral_course_premium_experiences_vw,Done,No,EDSMIG-5393,prod.silver_base.courral_course_premium_experiences,courral_course_premium_experiences,"['version', 'doc_key', 'idx']"
coursera_warehouse.edw_prod.course_passing_states,prod.silver.static_course_passing_states_vw,Done,No,EDSMIG-5392,prod.silver_base.static_course_passing_states,,
coursera_warehouse.edw_prod.course_item_passing_states,prod.silver.static_course_item_passing_states_vw,Done,No,EDSMIG-5386,prod.silver_base.static_course_item_passing_states,,
coursera_warehouse.edw_prod.course_item_change_log,prod.silver.courral_course_item_change_log_vw,Done,No,EDSMIG-5384,prod.silver_base.courral_course_item_change_log,courral_course_item_change_log,"['version', 'doc_key']"
coursera_warehouse.edw_prod.course_instructors,prod.gold_pii.course_instructors_vw,Done,No,EDSMIG-5383,prod.gold_base_pii.course_instructors,,
coursera_warehouse.edw_prod.course_domains,prod.silver.courral_course_domains_vw,Done,No,EDSMIG-5381,prod.silver_base.courral_course_domains,courral_course_domains,"['doc_key', 'domainId', 'subdomainId']"
coursera_warehouse.edw_prod.course_builder_workflows,prod.silver.dynamodb_static_course_builder_workflows_vw,Done,No,EDSMIG-5377,prod.silver_base.dynamodb_static_course_builder_workflows,,
coursera_warehouse.edw_prod.course_builder_v2_workflows,prod.silver.dynamodb_course_builder_v2_workflows_vw,Done,No,EDSMIG-5376,prod.silver_base.dynamodb_course_builder_v2_workflows,,
coursera_warehouse.edw_prod.course_branches,prod.general.stg_course_branches,Done,No,EDSMIG-5372,prod.general.stg_course_branches,,
coursera_warehouse.edw_prod.course_branch_modules,prod.gold.course_branch_modules_vw,Done,No,EDSMIG-5369,prod.gold_base.course_branch_modules,,
coursera_warehouse.edw_prod.course_branch_lessons,prod.gold.course_branch_lessons_vw,Done,No,EDSMIG-5367,prod.gold_base.course_branch_lessons,,
coursera_warehouse.edw_prod.course_branch_items,prod.gold.course_branch_items_vw,Done,No,EDSMIG-5365,prod.gold_base.course_branch_items,,
coursera_warehouse.edw_prod.course_branch_grading_weights,prod.general.stg_courral_course_branch_grading_weights,Done,No,EDSMIG-5359,prod.general.stg_courral_course_branch_grading_weights,,
coursera_warehouse.edw_prod.course_branch_grading_policies,prod.general.stg_course_branch_grading_policies_vw,Done,No,EDSMIG-5358,prod.general.stg_course_branch_grading_policies,,
coursera_warehouse.edw_prod.course_branch_graded_assignment_groups_items,prod.general.stg_courral_course_branch_graded_assignment_group_items,Done,No,EDSMIG-5357,prod.general.stg_courral_course_branch_graded_assignment_group_items,,
coursera_warehouse.edw_prod.course_branch_graded_assignment_groups,prod.general.stg_courral_course_branch_graded_assignment_groups,Done,No,EDSMIG-5356,prod.general.stg_courral_course_branch_graded_assignment_groups,,
coursera_warehouse.edw_prod.courral_private_community_groups,prod.silver.courral_private_community_groups_vw,Done,No,EDSMIG-5324,prod.silver_base.courral_private_community_groups,courral_private_community_groups,['group_id']
coursera_warehouse.edw_prod.courral_groups,prod.silver.courral_groups_vw,Done,No,EDSMIG-5321,prod.silver_base.courral_groups,courral_groups,['doc_key']
coursera_warehouse.edw_prod.courral_group_scope_ids,prod.silver.courral_group_scope_ids_vw,Done,No,EDSMIG-5320,prod.silver_base.courral_group_scope_ids,courral_group_scope_ids,"['doc_key', 'scope_id']"
coursera_warehouse.edw_prod.courral_feedback_vote_counts,prod.silver.courral_feedback_helpful_vote_counts_vw,Done,No,EDSMIG-5319,prod.silver_base.courral_feedback_helpful_vote_counts,courral_feedback_helpful_vote_counts,"['version', 'doc_key']"
coursera_warehouse.edw_prod.courral_feedback_ratings,prod.silver.courral_feedback_ratings_vw,Done,No,EDSMIG-5318,prod.silver_base.courral_feedback_ratings,courral_feedback_ratings,"['version', 'doc_key']"
coursera_warehouse.edw_prod.courral_feedback_detailed_contexts,prod.silver.courral_feedback_detailed_contexts_vw,Done,No,EDSMIG-5317,prod.silver_base.courral_feedback_detailed_contexts,courral_feedback_detailed_contexts,"['version', 'doc_key']"
coursera_warehouse.edw_prod.courral_feedback_comments,prod.silver.courral_feedback_comments_vw,Done,No,EDSMIG-5316,prod.silver_base.courral_feedback_comments,courral_feedback_comments,"['version', 'doc_key', 'feedback_category']"
coursera_warehouse.edw_prod.courral_feedback_comment_statuses,prod.silver.courral_feedback_comment_status_vw,Done,No,EDSMIG-5315,prod.silver_base.courral_feedback_comment_status,courral_feedback_comment_status,"['version', 'doc_key']"
coursera_warehouse.edw_prod.coupons,prod.silver.payments_coupons_vw,Done,No,EDSMIG-5305,prod.silver_base.payments_coupons,payments_coupons,['id']
coursera_warehouse.edw_prod.countries,prod.silver.static_countries_vw,Done,No,EDSMIG-5303,prod.silver_base.static_countries,,
coursera_warehouse.edw_prod.core_skills_taxonomy_node2,prod.silver.dynamodb_core_skills_taxonomy_node_vw,Done,No,EDSMIG-5301,prod.silver_base.dynamodb_core_skills_taxonomy_node,dynamodb_core_skills_taxonomy_node,"['branch_name', 'id']"
coursera_warehouse.edw_prod.core_skills_taxonomy_branch,prod.silver.dynamodb_core_skills_taxonomy_branch_vw,Done,No,EDSMIG-5300,prod.silver_base.dynamodb_core_skills_taxonomy_branch,dynamodb_core_skills_taxonomy_branch,"['name', 'created_at']"
coursera_warehouse.edw_prod.continents,prod.silver.static_continents_vw,Done,No,EDSMIG-5294,prod.silver_base.static_continents,,
coursera_warehouse.edw_prod.clip_generated_content,prod.silver.clip_generated_content_vw,Done,No,EDSMIG-5284,prod.silver_base.clip_generated_content,,
coursera_warehouse.edw_prod.cheating_case_comments,prod.silver.courral_cheating_case_comments_vw,Done,No,EDSMIG-5279,prod.silver_base.courral_cheating_case_comments,courral_cheating_case_comments,"['doc_key', 'evidence_id']"
coursera_warehouse.edw_prod.certificates,prod.silver.courral_certificates_vw,Done,No,EDSMIG-5276,prod.silver_base.courral_certificates,courral_certificates,['doc_key']
coursera_warehouse.edw_prod.cassandra_deleted_mailspin_campaign,prod.silver.static_cassandra_deleted_mailspin_campaign_vw,Done,No,EDSMIG-5271,prod.silver_base.static_cassandra_deleted_mailspin_campaign,,
coursera_warehouse.edw_prod.carts,prod.silver.payments_carts_vw,Done,No,EDSMIG-5270,prod.silver_base.payments_carts,payments_carts,['id']
coursera_warehouse.edw_prod.cart_items,prod.silver.payments_cart_items_vw,Done,No,EDSMIG-5269,prod.silver_base.payments_cart_items,payments_cart_items,['id']
coursera_warehouse.edw_prod.cal_qtr,prod.silver.static_quarters_vw,Done,No,EDSMIG-5265,prod.silver_base.static_quarters,,
coursera_warehouse.edw_prod.cal_dy,prod.silver.static_cal_dy_vw,Done,No,EDSMIG-5261,prod.silver_base.static_cal_dy,,
coursera_warehouse.edw_prod.branch_current_grades_v2,prod.silver.kinesis_branch_grades_latest_vw,Done,No,EDSMIG-5256,prod.silver_base.kinesis_branch_grades_latest,kinesis_branch_grades_latest,"['course_branch_id', 'user_id']"
coursera_warehouse.edw_prod.autoenrollment_degree_course_prereqs,prod.silver.static_autoenrollment_degree_course_prereqs_vw,Done,No,EDSMIG-5231,prod.silver_base.static_autoenrollment_degree_course_prereqs,,
coursera_warehouse.edw_prod.authoring_learning_objective_course_branch_modules,prod.silver.courral_authoring_learning_objective_course_branch_modules_vw,Done,No,EDSMIG-5219,prod.silver_base.courral_authoring_learning_objective_course_branch_modules,courral_authoring_learning_objective_course_branch_modules,"['course_branch_module_id', 'learning_objective_id', 'course_branch_id']"
coursera_warehouse.edw_prod.authoring_course_branches,prod.silver.courral_authoring_course_branches_vw,Done,No,EDSMIG-5216,prod.silver_base.courral_authoring_course_branches,,
coursera_warehouse.edw_prod.authoring_course_branch_grading_late_penalties,prod.general.stg_course_branch_grading_late_penalties_vw,Done,No,EDSMIG-5215,prod.general.stg_course_branch_grading_late_penalties,,
coursera_warehouse.edw_prod.aurora_mailspin_campaign,prod.silver.courral_aurora_mailspin_campaign_vw,Done,No,EDSMIG-5211,prod.silver_base.courral_aurora_mailspin_campaign,courral_aurora_mailspin_campaign,['doc_key']
coursera_warehouse.edw_prod.atom_relations,prod.silver.courral_atom_relations_vw,Done,No,EDSMIG-5208,prod.silver_base.courral_atom_relations,courral_atom_relations,['doc_key']
coursera_warehouse.edw_prod.atlassian_coupons,prod.silver.static_atlassian_coupons_vw,Done,No,EDSMIG-5206,prod.silver_base.static_atlassian_coupons,,
coursera_warehouse.edw_prod.assignment_part_submissions,prod.silver.static_assignment_part_submissions_vw,Done,No,EDSMIG-5200,prod.silver_base.static_assignment_part_submissions,,
coursera_warehouse.edw_prod.assets,prod.silver.courral_assets_vw,Done,No,EDSMIG-5199,prod.silver_base.courral_assets,courral_assets,['doc_key']
coursera_warehouse.edw_prod.an_surveys,prod.silver.courral_an_surveys_vw,Done,No,EDSMIG-5183,prod.silver_base.courral_an_surveys,courral_an_surveys,['doc_key']
coursera_warehouse.edw_prod.an_survey_sections,prod.silver.courral_an_survey_sections_vw,Done,No,EDSMIG-5179,prod.silver_base.courral_an_survey_sections,courral_an_survey_sections,"['doc_key', 'survey_section_id']"
coursera_warehouse.edw_prod.an_survey_questions_content,prod.silver.courral_an_survey_questions_content_vw,Done,No,EDSMIG-5176,prod.silver_base.courral_an_survey_questions_content,courral_an_survey_questions_content,"['doc_key', 'questions_index']"
coursera_warehouse.edw_prod.an_survey_questions,prod.silver.courral_an_survey_questions_vw,Done,No,EDSMIG-5175,prod.silver_base.courral_an_survey_questions,courral_an_survey_questions,"['doc_key', 'questions_index']"
coursera_warehouse.edw_prod.team_review_contents,prod.silver.courral_team_review_contents_vw,Done,No,EDSMIG-5157,prod.silver_base.courral_team_review_contents,courral_team_review_contents,"['version', 'doc_key']"
coursera_warehouse.edw_prod.staff_graded_assignment_submission_evaluations,prod.silver.courral_staff_graded_assignment_submission_evaluations_vw,Done,No,EDSMIG-5151,prod.silver_base.courral_staff_graded_assignment_submission_evaluations,,
coursera_warehouse.edw_prod.staff_graded_assignment_submission_evaluation_response_part_multi_line_details,prod.silver.courral_staff_graded_assignment_submission_evaluation_response_part_multi_line_details_vw,Done,No,EDSMIG-5146,prod.silver_base.courral_staff_graded_assignment_submission_evaluation_response_part_multi_line_details,,
coursera_warehouse.edw_prod.s12n_progress_course_requirements,prod.silver.dynamodb_s12n_progress_course_requirements_vw,Done,No,EDSMIG-5144,prod.silver_base.dynamodb_s12n_progress_course_requirements,dynamodb_s12n_progress_course_requirements,['specialization_id']
coursera_warehouse.edw_prod.reading_contents,prod.silver.courral_reading_contents_vw,Done,No,EDSMIG-5143,prod.silver_base.courral_reading_contents,courral_reading_contents,"['version', 'doc_key']"
coursera_warehouse.edw_prod.quiz_contents,prod.silver.courral_quiz_contents_vw,Done,No,EDSMIG-5142,prod.silver_base.courral_quiz_contents,courral_quiz_contents,"['version', 'doc_key']"
coursera_warehouse.edw_prod.program_assign_contents,prod.silver.courral_program_assign_contents_vw,Done,No,EDSMIG-5140,prod.silver_base.courral_program_assign_contents,courral_program_assign_contents,"['version', 'doc_key']"
coursera_warehouse.edw_prod.phoenix_specializations,prod.gold.phoenix_specializations_vw,Done,No,EDSMIG-5139,prod.gold_base.phoenix_specializations,,
coursera_warehouse.edw_prod.peer_submissions,prod.gold.peer_submissions_vw,Done,No,EDSMIG-5138,prod.gold_base.peer_submissions,,
coursera_warehouse.edw_prod.peer_submission_part_urls,prod.silver.peer_submission_part_urls_vw,Done,No,EDSMIG-5137,prod.silver_base.peer_submission_part_urls,,
coursera_warehouse.edw_prod.peer_submission_part_scores_v2,prod.gold.peer_submission_part_scores_vw,Done,No,EDSMIG-5136,prod.gold_base.peer_submission_part_scores,,
coursera_warehouse.edw_prod.peer_submission_part_free_responses,prod.silver.peer_submission_part_free_responses_vw,Done,No,EDSMIG-5135,prod.silver_base.peer_submission_part_free_responses,,
coursera_warehouse.edw_prod.peer_skips,prod.silver.courral_peer_skips_vw,Done,No,EDSMIG-5133,prod.silver_base.courral_peer_skips,courral_peer_skips,['doc_key']
coursera_warehouse.edw_prod.peer_reviews,prod.gold.peer_reviews_vw,Done,No,EDSMIG-5132,prod.gold_base.peer_reviews,,
coursera_warehouse.edw_prod.peer_review_part_free_responses,prod.silver.peer_review_part_free_responses_vw,Done,No,EDSMIG-5131,prod.silver_base.peer_review_part_free_responses,,
coursera_warehouse.edw_prod.peer_review_part_choices,prod.silver.peer_review_part_choices_vw,Done,No,EDSMIG-5130,prod.silver_base.peer_review_part_choices,,
coursera_warehouse.edw_prod.peer_comments,prod.silver.courral_peer_comments_vw,Done,No,EDSMIG-5125,prod.silver_base.courral_peer_comments,courral_peer_comments,['doc_key']
coursera_warehouse.edw_prod.peer_assignments,prod.gold.peer_assignments_vw,Done,No,EDSMIG-5124,prod.gold_base.peer_assignments,,
coursera_warehouse.edw_prod.peer_assignment_review_schema_parts,prod.gold.peer_assignment_review_schema_parts_vw,Done,No,EDSMIG-5122,prod.gold_base.peer_assignment_review_schema_parts,,
coursera_warehouse.edw_prod.peer_assignment_review_schema_part_options,prod.gold.peer_assignment_review_schema_part_options_vw,Done,No,EDSMIG-5121,prod.gold_base.peer_assignment_review_schema_part_options,,
coursera_warehouse.edw_prod.learner_item_grades,prod.silver.courral_learner_item_grades_vw,Done,No,EDSMIG-5120,prod.silver_base.courral_learner_item_grades,courral_learner_item_grades,"['doc_key', 'transact_seq']"
coursera_warehouse.edw_prod.learner_item_evaluations,prod.silver.courral_learner_item_evaluations_vw,Done,No,EDSMIG-5119,prod.silver_base.courral_learner_item_evaluations,courral_learner_item_evaluations,['doc_key']
coursera_warehouse.edw_prod.learner_item_evaluation_late_penalties,prod.silver.courral_learner_item_evaluation_late_penalties_all_vw,Done,No,EDSMIG-5118,prod.silver_base.courral_learner_item_evaluation_late_penalties_all,courral_learner_item_evaluation_late_penalties_all,['versioned_learner_item_evaluation_id']
coursera_warehouse.edw_prod.languages,prod.silver.static_languages_vw,Done,No,EDSMIG-5115,prod.silver_base.static_languages,,
coursera_warehouse.edw_prod.feedback_course_ratings,prod.silver.feedback_course_ratings_vw,Done,No,EDSMIG-5113,prod.silver_base.feedback_course_ratings,,
coursera_warehouse.edw_prod.enterprise_program_membership_actions,prod.silver.enterprise_program_membership_actions_vw,Done,No,EDSMIG-5110,prod.silver_base.enterprise_program_membership_actions,enterprise_program_membership_actions,['enterprise_program_membership_action_id']
coursera_warehouse.edw_prod.course_languages,prod.silver.courral_course_languages_vw,Done,No,EDSMIG-5107,prod.silver_base.courral_course_languages,courral_course_languages,"['doc_key', 'idx']"
coursera_warehouse.edw_prod.cheating_case_evidence_items_details_submission_flagged_by_similarity_check_system,prod.silver.courral_cheating_case_evidence_items_details_submission_flagged_by_similarity_check_system_vw,Done,No,EDSMIG-5102,prod.silver_base.courral_cheating_case_evidence_items_details_submission_flagged_by_similarity_check_system,courral_cheating_case_evidence_items_details_submission_flagged_by_similarity_check_system,"['doc_key', 'evidence_item_index', 'similarity_check_id']"
coursera_warehouse.edw_prod.cheating_case_evidence_items_details,prod.silver.courral_cheating_case_evidence_items_details_vw,Done,No,EDSMIG-5099,prod.silver_base.courral_cheating_case_evidence_items_details,courral_cheating_case_evidence_items_details,"['doc_key', 'evidence_item_index', 'evidence_item_type']"
coursera_warehouse.edw_prod.cheating_case_evidence_items,prod.silver.courral_cheating_case_evidence_items_vw,Done,No,EDSMIG-5098,prod.silver_base.courral_cheating_case_evidence_items,courral_cheating_case_evidence_items,"['doc_key', 'evidence_item_index']"
coursera_warehouse.edw_prod.atoms,prod.general.stg_atoms_vw,Done,No,EDSMIG-5096,prod.general.stg_atoms,,
coursera_warehouse.edw_prod.atom_content_types,prod.general.stg_atom_content_types,Done,No,EDSMIG-5095,prod.general.stg_atom_content_types,,
coursera_warehouse.edw_prod.assessments,prod.silver.courral_quiz_assessments_vw,Done,No,EDSMIG-5094,prod.silver_base.courral_quiz_assessments,courral_quiz_assessments,"['doc_key', 'version']"
coursera_warehouse.edw_prod.assessment_types,prod.silver.static_quiz_assessment_types_vw,Done,No,EDSMIG-5093,prod.silver_base.static_quiz_assessment_types,,
coursera_warehouse.edw_prod.assessment_text_exact_match_questions,prod.silver.courral_quiz_assessment_text_exact_match_questions_vw,Done,No,EDSMIG-5092,prod.silver_base.courral_quiz_assessment_text_exact_match_questions,,
coursera_warehouse.edw_prod.assessment_text_exact_match_patterns,prod.gold.quiz_assessment_text_exact_match_patterns_vw,Done,No,EDSMIG-5091,prod.gold_base.quiz_assessment_text_exact_match_patterns,,
coursera_warehouse.edw_prod.assessment_single_numeric_questions,prod.silver.courral_quiz_assessment_single_numeric_questions_vw,Done,No,EDSMIG-5090,prod.silver_base.courral_quiz_assessment_single_numeric_questions,,
coursera_warehouse.edw_prod.assessment_single_numeric_patterns,prod.gold.quiz_assessment_single_numeric_patterns_vw,Done,No,EDSMIG-5089,prod.gold_base.quiz_assessment_single_numeric_patterns,,
coursera_warehouse.edw_prod.assessment_scope_types,prod.silver.static_quiz_assessment_scope_types_vw,Done,No,EDSMIG-5087,prod.silver_base.static_quiz_assessment_scope_types,,
coursera_warehouse.edw_prod.assessment_regex_questions,prod.silver.courral_quiz_assessment_regex_questions_vw,Done,No,EDSMIG-5085,prod.silver_base.courral_quiz_assessment_regex_questions,,
coursera_warehouse.edw_prod.assessment_regex_patterns,prod.silver.courral_quiz_assessment_regex_patterns_vw,Done,No,EDSMIG-5084,prod.silver_base.courral_quiz_assessment_regex_patterns,,
coursera_warehouse.edw_prod.assessment_regex_pattern_flags,prod.gold.quiz_assessment_regex_pattern_flags_vw,Done,No,EDSMIG-5083,prod.gold_base.quiz_assessment_regex_pattern_flags,,
coursera_warehouse.edw_prod.assessment_reflect_questions,prod.silver.courral_quiz_assessment_reflect_questions_vw,Done,No,EDSMIG-5082,prod.silver_base.courral_quiz_assessment_reflect_questions,,
coursera_warehouse.edw_prod.assessment_questions,prod.silver.courral_quiz_assessment_questions_vw,Done,No,EDSMIG-5080,prod.silver_base.courral_quiz_assessment_questions,courral_quiz_assessment_questions,"['version', 'doc_key']"
coursera_warehouse.edw_prod.assessment_question_types,prod.silver.static_quiz_assessment_question_types_vw,Done,No,EDSMIG-5079,prod.silver_base.static_quiz_assessment_question_types,,
coursera_warehouse.edw_prod.assessment_pattern_types,prod.silver.static_quiz_assessment_pattern_types_vw,Done,No,EDSMIG-5078,prod.silver_base.static_quiz_assessment_pattern_types,,
coursera_warehouse.edw_prod.assessment_pattern_flag_types,prod.silver.static_quiz_assessment_pattern_flag_types_vw,Done,No,EDSMIG-5077,prod.silver_base.static_quiz_assessment_pattern_flag_types,,
coursera_warehouse.edw_prod.assessment_mcq_reflect_questions,prod.silver.courral_quiz_assessment_mcq_reflect_questions_vw,Done,No,EDSMIG-5076,prod.silver_base.courral_quiz_assessment_mcq_reflect_questions,,
coursera_warehouse.edw_prod.assessment_mcq_questions,prod.silver.courral_quiz_assessment_mcq_questions_vw,Done,No,EDSMIG-5075,prod.silver_base.courral_quiz_assessment_mcq_questions,,
coursera_warehouse.edw_prod.assessment_math_expression_questions,prod.silver.courral_quiz_assessment_math_expression_questions_vw,Done,No,EDSMIG-5074,prod.silver_base.courral_quiz_assessment_math_expression_questions,,
coursera_warehouse.edw_prod.assessment_math_expression_patterns,prod.gold.quiz_assessment_math_expression_patterns_vw,Done,No,EDSMIG-5073,prod.gold_base.quiz_assessment_math_expression_patterns,,
coursera_warehouse.edw_prod.assessment_checkbox_reflect_questions,prod.silver.courral_quiz_assessment_checkbox_reflect_questions_vw,Done,No,EDSMIG-5072,prod.silver_base.courral_quiz_assessment_checkbox_reflect_questions,,
coursera_warehouse.edw_prod.assessment_checkbox_questions,prod.silver.courral_quiz_assessment_checkbox_questions_vw,Done,No,EDSMIG-5071,prod.silver_base.courral_quiz_assessment_checkbox_questions,,
coursera_warehouse.edw_prod.assessment_assessments_questions,prod.gold.quiz_assessment_questions_vw,Done,No,EDSMIG-5070,prod.gold_base.quiz_assessment_questions,,
coursera_warehouse.edw_prod.s12n_progress_history,prod.silver.dynamodb_s12n_progress_history_vw,Done,No,EDSMIG-5069,prod.silver_base.dynamodb_s12n_progress_history,dynamodb_s12n_progress_history,"['specialization_id', 'user_id', 'version']"
coursera_warehouse.edw_prod.s12n_progress,prod.silver.dynamodb_s12n_progress_vw,Done,No,EDSMIG-5068,prod.silver_base.dynamodb_s12n_progress,dynamodb_s12n_progress,"['specialization_id', 'user_id']"
coursera_warehouse.edw_prod.users,prod.general.stg_users_vw,Done,No,EDSMIG-5065,prod.general.stg_users,,
coursera_warehouse.edw_prod.subscriptions,prod.silver.payments_subscriptions_vw,Done,No,EDSMIG-5063,prod.silver_base.payments_subscriptions,payments_subscriptions,['id']
coursera_warehouse.edw_prod.group_memberships,prod.silver_pii.courral_group_memberships_vw,Done,No,EDSMIG-5061,prod.silver_base_pii.courral_group_memberships,courral_group_memberships,['doc_key']
coursera_warehouse.edw_prod.feedback_item_ratings,prod.general.feedback_course_ratings_vw,Done,No,EDSMIG-5060,prod.general.feedback_course_ratings,,
coursera_warehouse.edw_prod.course_memberships,prod.silver.courral_course_memberships_vw,Done,No,EDSMIG-5057,prod.silver_base.courral_course_memberships,courral_course_memberships,"['doc_key', 'course_membership_ts']"
coursera_warehouse.edw_prod.assessment_options,prod.gold.quiz_assessment_options_vw,Done,No,EDSMIG-5053,prod.gold_base.quiz_assessment_options,,
pii.raw_events,prod.silver_pii.cleaned_events_all_vw,Done,No,EDSMIG-4346,prod.silver_base_pii.cleaned_events_all,,
pii.google_participant_entry_survey_v3_2022_unhashed,prod.general_pii.google_participant_entry_survey_v3_2022_unhashed,Done,No,EDSMIG-4055,prod.general_pii.google_participant_entry_survey_v3_2022_unhashed,,
pii.google_participant_entry_survey_v3_2022,prod.general_pii.google_participant_entry_survey_v3_2022,Done,No,EDSMIG-4053,prod.general_pii.google_participant_entry_survey_v3_2022,,
