edw_table,eds_equivalent_table,Status,is_table_replaced,issue_key,eds_base_table,table,key_cols
coursera_warehouse.edw_prod.raw_peer_review_complete_markers,prod.silver.peer_review_complete_markers_main_vw,Done,No,EDSMIG-5863,prod.silver_base.peer_review_complete_markers_main,,
coursera_warehouse.edw_prod.raw_peer_review_authoring_complete_markers,prod.silver.courral_raw_peer_review_authoring_complete_markers_vw,Done,No,EDSMIG-5861,prod.silver_base.courral_raw_peer_review_authoring_complete_markers,courral_raw_peer_review_authoring_complete_markers,"['author_id', 'assignment_id']"
coursera_warehouse.edw_prod.quiz_submissions,prod.silver.static_quiz_submissions_vw,Done,No,EDSMIG-5856,prod.silver_base.static_quiz_submissions,,
coursera_warehouse.edw_prod.qualification_surveys,prod.silver.courral_qualification_surveys_vw,Done,No,EDSMIG-5838,prod.silver_base.courral_qualification_surveys,courral_qualification_surveys,['doc_key']
coursera_warehouse.edw_prod.promotions,prod.silver.payments_promotions_vw,Done,No,EDSMIG-5833,prod.silver_base.payments_promotions,payments_promotions,['promotion_id']
coursera_warehouse.edw_prod.programming_assignment_lab_contents,prod.silver.courral_programming_assignment_lab_contents_vw,Done,No,EDSMIG-5819,prod.silver_base.courral_programming_assignment_lab_contents,,
coursera_warehouse.edw_prod.program_user_coursera_warehouse.edw_product_state_records,prod.silver.enterprise_user_product_state_records_vw,Done,No,EDSMIG-5818,prod.silver_base.enterprise_user_product_state_records,,
coursera_warehouse.edw_prod.professional_certificates,prod.silver.courral_professional_certificates_vw,Done,No,EDSMIG-5815,prod.silver_base.courral_professional_certificates,courral_professional_certificates,['prof_cert_id']
coursera_warehouse.edw_prod.private_community_groups,prod.silver.courral_private_community_groups_vw,Done,No,EDSMIG-5802,prod.silver_base.courral_private_community_groups,courral_private_community_groups,['group_id']
coursera_warehouse.edw_prod.prices,prod.silver.payments_prices_vw,Done,No,EDSMIG-5801,prod.silver_base.payments_prices,,
coursera_warehouse.edw_prod.preset_collections,silver_base.preset_collections,Done,No,EDSMIG-5800,silver_base_base.preset_collections,,
coursera_warehouse.edw_prod.preset_collection_items,silver_base.preset_collection_items,Done,No,EDSMIG-5799,silver_base_base.preset_collection_items,,
coursera_warehouse.edw_prod.placeholder_contents,prod.silver.courral_placeholder_contents_vw,Done,No,EDSMIG-5784,prod.silver_base.courral_placeholder_contents,courral_placeholder_contents,"['version', 'doc_key']"
coursera_warehouse.edw_prod.pii_event_keys,prod.silver.static_pii_event_keys_vw,Done,No,EDSMIG-5782,prod.silver_base.static_pii_event_keys,,
coursera_warehouse.edw_prod.phoenix_specialization_premium_experiences,prod.silver.courral_phoenix_specializations_premium_experiences_vw,Done,No,EDSMIG-5779,prod.silver_base.courral_phoenix_specializations_premium_experiences,courral_phoenix_specializations_premium_experiences,"['doc_key', 'phoenix_specialization_premium_experience_order']"
coursera_warehouse.edw_prod.phoenix_specialization_domains,prod.silver.courral_phoenix_specializations_domains_vw,Done,No,EDSMIG-5775,prod.silver_base.courral_phoenix_specializations_domains,courral_phoenix_specializations_domains,"['doc_key', 'phoenix_specialization_domain_order']"
coursera_warehouse.edw_prod.phoenix_session_module_deadlines,prod.silver.courral_course_session_module_deadlines_vw,Done,No,EDSMIG-5774,prod.silver_base.courral_course_session_module_deadlines,courral_course_session_module_deadlines,"['doc_key', 'course_branch_id', 'course_module_id']"
coursera_warehouse.edw_prod.peer_submissions_no_scores,prod.silver.peer_submission_no_scores_vw,Done,No,EDSMIG-5771,prod.silver_base.peer_submission_no_scores,,
coursera_warehouse.edw_prod.peer_submission_scores_v2,prod.silver.peer_submission_scores_v2_vw,Done,No,EDSMIG-5770,prod.silver_base.peer_submission_scores_v2,,
coursera_warehouse.edw_prod.payments_transactions,prod.silver.static_payments_transactions_vw,Done,No,EDSMIG-5766,prod.silver_base.static_payments_transactions,,
coursera_warehouse.edw_prod.payment_wallets,prod.silver_pii.payment_wallets_vw,Done,No,EDSMIG-5764,prod.silver_base_pii.payment_wallets,payment_wallets,['payment_wallet_id']
